seasonType,year,attendance,dayNight,durationMinutes,awayTeamName,homeTeamName,venueName,venueCapacity,venueCity,venueZip
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
PST,2016,54269,N,198,Cubs,Dodgers,Dodger Stadium,56000,Los Angeles,90012
